address,status,x,y,address_id,full_address
彰化縣二林鎮香田里儒林路10之1號,ok,186493.590,2641211.440,BNW0525-8,彰化縣二林鎮香田里011鄰儒林路１０號之１
彰化縣二水鄉三義巷30-7號,ok,210009.304,2634989.349,BNQ6262-2,彰化縣二水鄉過圳村004鄰三義巷３０之７號
彰化縣二水鄉上豐村山腳路113-5號,ok,221806.915,2704513.447,BHL2305-0,苗栗縣通霄鎮南和里009鄰南和１１３之５號
彰化縣二水鄉二水村員集路3段625號,ok,210854.693,2634004.106,BNN8965-5,彰化縣二水鄉二水村006鄰員集路三段６２５號
彰化縣二水鄉五伯村過圳路222號,ok,210477.648,2634574.340,BNN9671-8,彰化縣二水鄉五伯村010鄰過圳路２２２號
彰化縣二水鄉修仁村修仁路27-3號,ok,212380.350,2632891.210,BNN9915-9,彰化縣二水鄉修仁村003鄰修仁路２７之３號
彰化縣二水鄉修仁路27-3號,ok,212380.350,2632891.210,BNN9915-9,彰化縣二水鄉修仁村003鄰修仁路２７之３號
彰化縣二水鄉倡和村倡和路41-1號,ok,214263.380,2632639.190,BNQ0278-7,彰化縣二水鄉倡和村009鄰倡和路４１之１號
彰化縣二水鄉倡和路41-1號,ok,214263.380,2632639.190,BNQ0278-7,彰化縣二水鄉倡和村009鄰倡和路４１之１號
彰化縣二水鄉光化村光聖巷37號,ok,210895.157,2634405.245,BNQ0605-1,彰化縣二水鄉光化村006鄰光明路３７號
彰化縣二水鄉光文路119號,ok,211062.572,2634119.341,BNQ3376-0,彰化縣二水鄉文化村001鄰光文路１１９號
彰化縣二水鄉光進一巷20-1號,ok,,,,
彰化縣二水鄉十五村十五路33-1號,ok,209401.787,2636097.900,BNQ0962-0,彰化縣二水鄉十五村003鄰十五路３３號之１
彰化縣二水鄉十五路33-1號,ok,209401.787,2636097.900,BNQ0962-0,彰化縣二水鄉十五村003鄰十五路３３號之１
彰化縣二水鄉南通路二段764號,ok,211176.880,2633659.950,BNQ5912-0,彰化縣二水鄉裕民村006鄰南通路二段７６４號
彰化縣二水鄉合和村番田二巷17號,ok,203655.261,2649771.643,BNH8812-3,彰化縣埔心鄉東門村014鄰正大路１７號
彰化縣二水鄉合興村英義路12巷46號,ok,213433.838,2632423.676,BNQ1808-5,彰化縣二水鄉合興村008鄰英義路１２巷４６號
彰化縣二水鄉員集路5段472號,ok,209735.046,2636203.272,BNQ2537-5,彰化縣二水鄉復興村010鄰員集路五段４７２號
彰化縣二水鄉員集路二段316號,ok,210419.492,2635055.065,BNN8351-0,彰化縣二水鄉上豊村001鄰員集路四段３１６號
彰化縣二水鄉大園巷11-9號,ok,,,,
彰化縣二水鄉大園村員集路二段316號,ok,207832.706,2639255.658,BNB0808-0,彰化縣田中鎮南路里008鄰員集路二段３１６號
彰化縣二水鄉大園村大園巷11-9號,ok,213027.430,2633383.290,BNQ2158-8,彰化縣二水鄉大園村003鄰大園巷１１號之９
彰化縣二水鄉山腳路一段113-5號,ok,197819.370,2673461.750,BLY5603-2,彰化縣伸港鄉海尾村008鄰海尾路１１３之５號
彰化縣二水鄉山腳路一段48-1號,ok,171245.659,2615096.705,BSR8132-0,雲林縣四湖鄉四湖村007鄰中山東路４８之１號
彰化縣二水鄉復興村員集路5段472號,ok,209735.046,2636203.272,BNQ2537-5,彰化縣二水鄉復興村010鄰員集路五段４７２號
彰化縣二水鄉復興村員集路五段472號,ok,209735.046,2636203.272,BNQ2537-5,彰化縣二水鄉復興村010鄰員集路五段４７２號
彰化縣二水鄉惠民村山腳路48-1號,ok,208211.616,2653280.800,BNF2010-3,彰化縣大村鄉黃厝村008鄰山腳路４８號之１
彰化縣二水鄉惠民村山腳路一段223巷42弄32-1號,ok,,,,
彰化縣二水鄉文化一巷1號,ok,,,,
彰化縣二水鄉文化村員集路三段452號,ok,211273.672,2634003.815,BNQ5002-0,彰化縣二水鄉文化村011鄰員集路三段４５２號
彰化縣二水鄉文化村文化一巷1號,ok,201786.620,2640998.200,BNR5378-5,彰化縣北斗鎮居仁里011鄰光華街１號
彰化縣二水鄉月眉巷1-1號,ok,,,,
彰化縣二水鄉月眉巷13號,ok,213907.045,2633345.204,BNQ5038-2,彰化縣二水鄉源泉村001鄰月眉巷１３號
彰化縣二水鄉正德巷5號,ok,,,,
彰化縣二水鄉源泉村月眉巷1-2號,ok,179311.850,2641896.371,BPC5905-1,彰化縣大城鄉豐美村003鄰人和路１之２號
彰化縣二水鄉溪邊巷72號,ok,210939.855,2634028.732,BNQ5615-3,彰化縣二水鄉聖化村009鄰溪邊巷７２號
彰化縣二水鄉溪邊巷78號,ok,210914.970,2634013.780,BNQ5616-5,彰化縣二水鄉聖化村009鄰溪邊巷７８號
彰化縣二水鄉番田一巷46號,ok,210517.067,2635531.547,BNQ1501-9,彰化縣二水鄉合和村006鄰番田一巷４６號
彰化縣二水鄉聖化村溪邊巷72號,ok,210939.855,2634028.732,BNQ5615-3,彰化縣二水鄉聖化村009鄰溪邊巷７２號
彰化縣二水鄉裕民巷53號,ok,,,,
彰化縣二水鄉裕民村過溪巷90號,ok,211299.739,2633838.654,BNQ6097-8,彰化縣二水鄉裕民村009鄰過溪巷９０號
彰化縣二水鄉過圳村三義巷30-7號,ok,210009.304,2634989.349,BNQ6262-2,彰化縣二水鄉過圳村004鄰三義巷３０之７號
彰化縣二水鄉過圳路222號,ok,210477.648,2634574.340,BNN9671-8,彰化縣二水鄉五伯村010鄰過圳路２２２號
彰化縣二水鄉鼻倡路20號,ok,213574.340,2632352.720,BNQ1910-1,彰化縣二水鄉合興村013鄰鼻倡路２０號
彰化縣伸港鄉七嘉村中華路565號,ok,198747.440,2671285.080,BLW9736-0,彰化縣伸港鄉七嘉村009鄰中華路５６５號
彰化縣伸港鄉七嘉村嘉二路47號,ok,198639.180,2671539.280,BLW9333-6,彰化縣伸港鄉七嘉村005鄰嘉二路４７號
彰化縣伸港鄉中華路565號,ok,198747.440,2671285.080,BLW9736-0,彰化縣伸港鄉七嘉村009鄰中華路５６５號
彰化縣伸港鄉什股村什股路100-1號,ok,196980.940,2672462.350,BLX0680-0,彰化縣伸港鄉什股村007鄰什股路１００之１號
彰化縣伸港鄉什股村什股路99-1號,ok,235324.459,2692680.747,BKG5163-9,苗栗縣卓蘭鎮坪林里017鄰双連９９之１號
彰化縣伸港鄉什股路100-1號,ok,196980.940,2672462.350,BLX0680-0,彰化縣伸港鄉什股村007鄰什股路１００之１號
彰化縣伸港鄉仁愛路123號,ok,197420.580,2671519.940,BLY3857-5,彰化縣伸港鄉泉州村011鄰仁愛路１２３號
彰化縣伸港鄉伸港鄉埤墘村埤墘一路154號,ok,198472.130,2670948.800,BLX3323-5,彰化縣伸港鄉埤墘村013鄰埤墘一路１５４號
