dataset,id,name,town,address,failure,api_best_guess,query,google_search_url,google_url,lat,lng,note
社區發展協會,CASSOC_101,南瑤社區發展協會,彰化市,彰化縣彰化市中正路二段675巷33號,api_無此門牌,,彰化縣彰化市中正路二段675巷33號,https://www.google.com/maps/search/?api=1&query=%E5%BD%B0%E5%8C%96%E7%B8%A3%E5%BD%B0%E5%8C%96%E5%B8%82%E4%B8%AD%E6%AD%A3%E8%B7%AF%E4%BA%8C%E6%AE%B5675%E5%B7%B733%E8%99%9F,,,,
社區發展協會,CASSOC_104,東興社區發展協會,彰化市,彰化縣彰化市彰化市旭光路39號3樓,api_僅模糊比對,彰化縣彰化市成功里018鄰旭光西路３９號,彰化縣彰化市彰化市旭光路39號3樓,https://www.google.com/maps/search/?api=1&query=%E5%BD%B0%E5%8C%96%E7%B8%A3%E5%BD%B0%E5%8C%96%E5%B8%82%E5%BD%B0%E5%8C%96%E5%B8%82%E6%97%AD%E5%85%89%E8%B7%AF39%E8%99%9F3%E6%A8%93,,,,
社區發展協會,CASSOC_105,華北社區發展協會,彰化市,彰化縣彰化市彰化市旭光路39號3樓,api_僅模糊比對,彰化縣彰化市成功里018鄰旭光西路３９號,彰化縣彰化市彰化市旭光路39號3樓,https://www.google.com/maps/search/?api=1&query=%E5%BD%B0%E5%8C%96%E7%B8%A3%E5%BD%B0%E5%8C%96%E5%B8%82%E5%BD%B0%E5%8C%96%E5%B8%82%E6%97%AD%E5%85%89%E8%B7%AF39%E8%99%9F3%E6%A8%93,,,,
社區發展協會,CASSOC_117,河東社區發展協會,溪湖鎮,彰化縣溪湖鎮河東路281號,api_僅模糊比對,彰化縣溪湖鎮平和里002鄰彰水路三段２８１號,彰化縣溪湖鎮河東路281號,https://www.google.com/maps/search/?api=1&query=%E5%BD%B0%E5%8C%96%E7%B8%A3%E6%BA%AA%E6%B9%96%E9%8E%AE%E6%B2%B3%E6%9D%B1%E8%B7%AF281%E8%99%9F,,,,
社區發展協會,CASSOC_121,中竹社區發展協會,溪湖鎮,彰化縣溪湖鎮竹福路181號,api_僅模糊比對,彰化縣溪湖鎮湖東里028鄰大溪路二段１８１號,彰化縣溪湖鎮竹福路181號,https://www.google.com/maps/search/?api=1&query=%E5%BD%B0%E5%8C%96%E7%B8%A3%E6%BA%AA%E6%B9%96%E9%8E%AE%E7%AB%B9%E7%A6%8F%E8%B7%AF181%E8%99%9F,,,,
社區發展協會,CASSOC_129,田中社區發展協會,溪湖鎮,彰化縣溪湖鎮田中里田中巷216號,api_僅模糊比對,彰化縣芬園鄉同安村009鄰大彰路三段２１６號,彰化縣溪湖鎮田中里田中巷216號,https://www.google.com/maps/search/?api=1&query=%E5%BD%B0%E5%8C%96%E7%B8%A3%E6%BA%AA%E6%B9%96%E9%8E%AE%E7%94%B0%E4%B8%AD%E9%87%8C%E7%94%B0%E4%B8%AD%E5%B7%B7216%E8%99%9F,,,,
社區發展協會,CASSOC_132,三條社區發展協會,溪州鄉,彰化縣溪州鄉三條村九甲一巷4號,api_僅模糊比對,彰化縣鹿港鎮頂番里003鄰頂草路一段４號,彰化縣溪州鄉三條村九甲一巷4號,https://www.google.com/maps/search/?api=1&query=%E5%BD%B0%E5%8C%96%E7%B8%A3%E6%BA%AA%E5%B7%9E%E9%84%89%E4%B8%89%E6%A2%9D%E6%9D%91%E4%B9%9D%E7%94%B2%E4%B8%80%E5%B7%B74%E8%99%9F,,,,
社區發展協會,CASSOC_146,榮光社區發展協會,溪州鄉,彰化縣溪州鄉榮光村政民路27-2號,api_僅模糊比對,高雄市新興區成功里006鄰興華路２７之２號,彰化縣溪州鄉榮光村政民路27-2號,https://www.google.com/maps/search/?api=1&query=%E5%BD%B0%E5%8C%96%E7%B8%A3%E6%BA%AA%E5%B7%9E%E9%84%89%E6%A6%AE%E5%85%89%E6%9D%91%E6%94%BF%E6%B0%91%E8%B7%AF27-2%E8%99%9F,,,,
社區發展協會,CASSOC_151,草中社區發展協會,鹿港鎮,彰化縣鹿港鎮草中里(巷)174號,api_僅模糊比對,彰化縣二林鎮大永里001鄰萬原路一段１７４號,彰化縣鹿港鎮草中里(巷)174號,https://www.google.com/maps/search/?api=1&query=%E5%BD%B0%E5%8C%96%E7%B8%A3%E9%B9%BF%E6%B8%AF%E9%8E%AE%E8%8D%89%E4%B8%AD%E9%87%8C%28%E5%B7%B7%29174%E8%99%9F,,,,
社區發展協會,CASSOC_153,頭崙社區發展協會,鹿港鎮,彰化縣鹿港鎮頭崙社區活動中心,not_addressable,,彰化縣鹿港鎮頭崙社區發展協會,https://www.google.com/maps/search/?api=1&query=%E5%BD%B0%E5%8C%96%E7%B8%A3%E9%B9%BF%E6%B8%AF%E9%8E%AE%E9%A0%AD%E5%B4%99%E7%A4%BE%E5%8D%80%E7%99%BC%E5%B1%95%E5%8D%94%E6%9C%83,,,,
社區發展協會,CASSOC_159,南勢社區發展協會,鹿港鎮,彰化縣鹿港鎮南勢社區活動中心,not_addressable,,彰化縣鹿港鎮南勢社區發展協會,https://www.google.com/maps/search/?api=1&query=%E5%BD%B0%E5%8C%96%E7%B8%A3%E9%B9%BF%E6%B8%AF%E9%8E%AE%E5%8D%97%E5%8B%A2%E7%A4%BE%E5%8D%80%E7%99%BC%E5%B1%95%E5%8D%94%E6%9C%83,,,,
社區發展協會,CASSOC_161,山寮社區發展協會,鹿港鎮,彰化縣鹿港鎮鄧安宮廣場,not_addressable,,彰化縣鹿港鎮山寮社區發展協會,https://www.google.com/maps/search/?api=1&query=%E5%BD%B0%E5%8C%96%E7%B8%A3%E9%B9%BF%E6%B8%AF%E9%8E%AE%E5%B1%B1%E5%AF%AE%E7%A4%BE%E5%8D%80%E7%99%BC%E5%B1%95%E5%8D%94%E6%9C%83,,,,
社區發展協會,CASSOC_164,東昇社區發展協會,鹿港鎮,彰化縣鹿港鎮東崎里打鐵厝(巷)9號,api_無此門牌,,彰化縣鹿港鎮東崎里打鐵厝(巷)9號,https://www.google.com/maps/search/?api=1&query=%E5%BD%B0%E5%8C%96%E7%B8%A3%E9%B9%BF%E6%B8%AF%E9%8E%AE%E6%9D%B1%E5%B4%8E%E9%87%8C%E6%89%93%E9%90%B5%E5%8E%9D%28%E5%B7%B7%299%E8%99%9F,,,,
社區發展協會,CASSOC_168,學子社區發展協會,鹿港鎮,彰化縣鹿港鎮無,not_addressable,,彰化縣鹿港鎮學子社區發展協會,https://www.google.com/maps/search/?api=1&query=%E5%BD%B0%E5%8C%96%E7%B8%A3%E9%B9%BF%E6%B8%AF%E9%8E%AE%E5%AD%B8%E5%AD%90%E7%A4%BE%E5%8D%80%E7%99%BC%E5%B1%95%E5%8D%94%E6%9C%83,,,,
社區發展協會,CASSOC_169,景福社區發展協會,鹿港鎮,彰化縣鹿港鎮景福里萬壽路244號,api_僅模糊比對,臺中市西區後龍里019鄰民權路２４４號,彰化縣鹿港鎮景福里萬壽路244號,https://www.google.com/maps/search/?api=1&query=%E5%BD%B0%E5%8C%96%E7%B8%A3%E9%B9%BF%E6%B8%AF%E9%8E%AE%E6%99%AF%E7%A6%8F%E9%87%8C%E8%90%AC%E5%A3%BD%E8%B7%AF244%E8%99%9F,,,,
社區發展協會,CASSOC_171,埔崙社區發展協會,鹿港鎮,彰化縣鹿港鎮無,not_addressable,,彰化縣鹿港鎮埔崙社區發展協會,https://www.google.com/maps/search/?api=1&query=%E5%BD%B0%E5%8C%96%E7%B8%A3%E9%B9%BF%E6%B8%AF%E9%8E%AE%E5%9F%94%E5%B4%99%E7%A4%BE%E5%8D%80%E7%99%BC%E5%B1%95%E5%8D%94%E6%9C%83,,,,
社區發展協會,CASSOC_184,平原社區發展協會,埤頭鄉,彰化縣埤頭鄉平原村平原路171號,api_僅模糊比對,彰化縣和美鎮四張里012鄰平原路１７１號,彰化縣埤頭鄉平原村平原路171號,https://www.google.com/maps/search/?api=1&query=%E5%BD%B0%E5%8C%96%E7%B8%A3%E5%9F%A4%E9%A0%AD%E9%84%89%E5%B9%B3%E5%8E%9F%E6%9D%91%E5%B9%B3%E5%8E%9F%E8%B7%AF171%E8%99%9F,,,,
社區發展協會,CASSOC_189,陸嘉社區發展協會,埤頭鄉,彰化縣埤頭鄉陸嘉村中華路434號,api_僅模糊比對,彰化縣田中鎮中路里017鄰中南路三段４３４號,彰化縣埤頭鄉陸嘉村中華路434號,https://www.google.com/maps/search/?api=1&query=%E5%BD%B0%E5%8C%96%E7%B8%A3%E5%9F%A4%E9%A0%AD%E9%84%89%E9%99%B8%E5%98%89%E6%9D%91%E4%B8%AD%E8%8F%AF%E8%B7%AF434%E8%99%9F,,,,
社區發展協會,CASSOC_194,埔鹽社區發展協會,埔鹽鄉,彰化縣埔鹽鄉無,not_addressable,,彰化縣埔鹽鄉埔鹽社區發展協會,https://www.google.com/maps/search/?api=1&query=%E5%BD%B0%E5%8C%96%E7%B8%A3%E5%9F%94%E9%B9%BD%E9%84%89%E5%9F%94%E9%B9%BD%E7%A4%BE%E5%8D%80%E7%99%BC%E5%B1%95%E5%8D%94%E6%9C%83,,,,
